Code Barre;Référence;Montant prix achat;Désignation;Quantité;Tva;Montant prix moyen;Prix de vente Gros;Prix de vente Min;Date d'éxpiration
6130640000727;ART00019626;0,00; A/RASAGE CHIVAS POL;0;19,00;0,00;0,00;0,00;
6134602000190;6134602000190;0,00; ARRUPAN GM;0;19,00;0,00;0,00;0,00;
6130752002404;6130752002404;0,00; BITTER LIGHTE;0;19,00;0,00;0,00;0,00;
2000000000015;6130336001823;0,00; CHIPS MAHBOUL POMME DE TERRE;0;19,00;0,00;0,00;0,00;
8712561164979;ART00032688;0,00; COFFRET BRUT E/T+DEO ;0;19,00;0,00;0,00;0,00;
8411061808115;ART00032572;0,00; COFFRET HER SECRET E.T +BODY;0;19,00;0,00;0,00;0,00;
6921295003856;6921295003856;0,00; CRABE PANE 250 G;0;19,00;0,00;0,00;0,00;
8712561373135;8712561373135;0,00; CREM DOVE NEW ;0;19,00;0,00;0,00;0,00;
8410836200505;ART00027136;0,00; DORILFLOR MARFLO1.5;0;19,00;0,00;0,00;0,00;
3348900892736;ART00009459;0,00; EAU SAUVAGE DIOR;0;19,00;0,00;0,00;0,00;
6133929000029;6133929000029;0,00; GALETTE MAMAY;0;19,00;0,00;0,00;0,00;
6194002420141;6194002420141;0,00; GOUT ASSORTIS CARAMEL 150G;0;19,00;0,00;0,00;0,00;
3059941006418;3059941006418;0,00; HARPIC BLOC WC 2 PC ;0;19,00;0,00;0,00;0,00;
6130272003097;6130272003097;0,00; L ORAGE FRUIT ;0;19,00;0,00;0,00;0,00;
6130272003233;6130272003233;0,00; L ORAGE ORCHIDES;0;19,00;0,00;0,00;0,00;
4050300905303;4050300905303;0,00; LAMP WELLIMAX;0;19,00;0,00;0,00;0,00;
3036813710109;3036813710109;0,00; LESIEUR SAUCE AMERICAINE 970GR;0;19,00;0,00;0,00;0,00;
6130403000025;ART00018632;0,00; MAHBOUBA MACA/COUD;0;19,00;0,00;0,00;0,00;
6132500076330;6132500076330;0,00; MIO BEBEE PM;0;19,00;0,00;0,00;0,00;
6132503150129;6132503150129;0,00; NOUN RIZ BLANC  500G;0;19,00;0,00;0,00;0,00;
6132501941194;6132501941194;0,00; OH FRUIT HODNA ;0;19,00;0,00;0,00;0,00;
6132503390969;6132503390969;0,00; PANZANI LASAGNE 500G ;0;19,00;0,00;0,00;0,00;
6132500460115;ART00021126;0,00; SIROP TAPPING FRAIS;0;19,00;0,00;0,00;0,00;
6133851000425;6133851000425;0,00; SOROR HARICO 500G;0;19,00;0,00;0,00;0,00;
6130519001305;6130519001305;0,00; SOSEMIE COUDES N4;0;19,00;0,00;0,00;0,00;
8717163962084;ART00030578;0,00;.EDT BRUT OCEANS 100;0;19,00;0,00;0,00;0,00;
4014400910155;ART00014144;0,00;.WERTHERS ORIGINAL C;0;19,00;0,00;0,00;0,00;
